ReceiptNo	Replen_Balance_Order	Cust_Sys_No	Allocated_Part	EDI_Order_Type	ShipFromCode	ShipToCode	Country	Quantity	PutAwayDate	InventoryDate	FY	Quarter	Month	Week	OrderType	Count_PO
CS-DIRSEL-RC0034517	5003950855	5003950855	JHVY6	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 09:31:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034518	5004059914	P01-95452314086	J5RTR	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004059915	P02-95452314086	TNW0H	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004062666	P01-95452116680	8WW77	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004062685	P01-95452116234	8WW77	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004062686	P01-95452115981	8WW77	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004062687	P01-95452116125	8WW77	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004062688	P01-95452268334	8WW77	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004062818	P01-95452316020	P8MXW	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004064671	P01-95452317382	PXH98	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004091077	P01-95452342922	3RWD8	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004091078	P01-95452342950	HT5F6	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004093239	P01-95452343157	VJYJ1	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004093678	P01-95452343743	1HH9M	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004094296	P01-95452344332	RNMK1	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004094297	P02-95452344332	JK0TP	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004096634	P01-95452346352	NG7N9	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004096635	P02-95452346352	GR86K	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004097637	P01-95452346678	6NRX4	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004097976	P01-95452348139	MN3NW	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004098554	P01-95452349294	T9D8M	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034518	5004098605	P01-95452348809	YM3YC	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:22	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034519	5004042270	5004042270	6J65H	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004043218	5004043218	C46PD	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004043423	5004043423	DYMD0	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004079665	5004079665	GDGT0	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004079740	5004079740	0Y4CD	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004079972	5004079972	KK0RG	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004079976	5004079976	53NF9	REPLEN-IN	CHSIN4	DIRSEL	KR	10	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004080049	5004080049	KM4C4	REPLEN-IN	CHSIN4	DIRSEL	KR	3	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004080094	5004080094	MT0R5	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004080113	5004080113	MVD1N	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004080336	5004080336	WTM1Y	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004080368	5004080368	53KHR	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034519	5004118516	5004118516	M04W6	REPLEN-IN	CHSIN4	DIRSEL	KR	9	2024-07-08 10:27:36	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034520	5004060225	P01-95452314847	NMVHC	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:40	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034520	5004062667	P01-95452115801	8WW77	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:40	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034520	5004062689	P01-95452116065	8WW77	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:40	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034520	5004062690	P01-95452115859	8WW77	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:40	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034520	5004094417	P01-95452344429	VFVT1	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:28:40	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034520	5004098556	P01-95452349444	KP8W5	PNAC-IN	CSK	DIRSEL	KR	4	2024-07-08 10:28:40	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034521	5004042661	5004042661	WC9K2	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004042719	5004042719	5JJ5P	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004043199	5004043199	H5YMR	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004043213	5004043213	6MX1M	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004043404	5004043404	34PD8	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004043582	5004043582	8DFX0	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004043716	5004043716	GPP93	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004043719	5004043719	TCY88	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004043782	5004043782	KW1FR	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004043833	5004043833	7VMVC	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004043914	5004043914	GWPP4	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034521	5004044066	5004044066	24RJJ	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	2
CS-DIRSEL-RC0034521	5004044069	5004044069	D72PF	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:35:19	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004042278	5004042278	M1C0T	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004042319	5004042319	N7J1M	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004042372	5004042372	JWV1P	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004042374	5004042374	HDWXN	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004042892	5004042892	TKK9K	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004042903	5004042903	4WX8Y	REPLEN-IN	CHSIN4	DIRSEL	KR	4	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004043011	5004043011	G2G54	REPLEN-IN	CHSIN4	DIRSEL	KR	5	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004043290	5004043290	7F8T0	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004043314	5004043314	3M0W1	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004043393	5004043393	C5HD0	REPLEN-IN	CHSIN4	DIRSEL	KR	4	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004043550	5004043550	10N7R	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004043605	5004043605	1D0F5	REPLEN-IN	CHSIN4	DIRSEL	KR	5	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004079522	5004079522	24N3N	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004079795	5004079795	C5HD0	REPLEN-IN	CHSIN4	DIRSEL	KR	4	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004079951	5004079951	978PJ	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004079992	5004079992	KMCCD	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004079994	5004079994	JMNW1	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004080059	5004080059	M1C0T	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004080293	5004080293	29NJ4	REPLEN-IN	CHSIN4	DIRSEL	KR	3	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004080345	5004080345	3JYGF	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004080346	5004080346	KTJTY	REPLEN-IN	CHSIN4	DIRSEL	KR	4	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034522	5004118438	5004118438	R8H4H	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:49:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034524	5004042765	5004042765	GC2FN	REPLEN-IN	CSK	DIRSEL	KR	3	2024-07-08 10:52:57	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034524	5004043136	5004043136	MXF81	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-08 10:52:57	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034524	5004043241	5004043241	3K7DW	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:52:57	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034524	5004043285	5004043285	1PW4Y	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-08 10:52:57	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034524	5004043325	5004043325	KP2TG	REPLEN-IN	CSK	DIRSEL	KR	6	2024-07-08 10:52:57	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034524	5004043406	5004043406	NTM4F	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:52:57	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034524	5004043917	5004043917	TRT21	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:52:57	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034524	5004043951	5004043951	KND83	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:52:57	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034524	5004044083	5004044083	359CG	REPLEN-IN	CSK	DIRSEL	KR	5	2024-07-08 10:52:57	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034524	5004044128	5004044128	4P5MX	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 10:52:57	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034525	5004080070	5004080070	6K35K	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 10:53:51	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034526	5004062706	P01-95452315583	5JPMC	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 11:01:33	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034526	5004090125	P01-95452342218	47J2X	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 11:01:33	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034526	5004096109	P01-95452345503	G60M3	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 11:01:33	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034526	5004096560	P01-95452345950	J16NW	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 11:01:33	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034526	5004097686	P01-95452346916	342YC	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 11:01:33	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034527	5004097718	P01-95452346825	214RC	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 10:54:53	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034528	5004059777	P01-95452313201	1JYWX	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 11:06:45	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034528	5004080619	5004080619	YH90J	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 11:06:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034528	5004080774	5004080774	M5WNK	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-08 11:06:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034528	5004080912	5004080912	3KR29	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 11:06:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034528	5004081243	5004081243	260KT	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 11:06:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034528	5004081244	5004081244	18W12	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 11:06:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034528	5004081717	5004081717	5WNM1	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 11:06:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034540	5004190084	P05-95452444974	R523W	PNAC-IN	CHSIN4	DIRSEL	KR	7	2024-07-08 14:52:37	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034540	5004190085	P02-95452444974	6P597	PNAC-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 14:52:37	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034540	5004190088	P06-95452444974	9JJP3	PNAC-IN	CHSIN4	DIRSEL	KR	10	2024-07-08 14:52:37	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034541	5004183945	5004183945	G162V	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 14:53:00	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034541	5004201060	5004201060	KYM2R	PNAE-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 14:53:00	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034543	5004170287	P01-95452420162	3M6CJ	PNAC-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 14:53:53	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034544	5004169846	5004169846	3VPD8	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 14:54:14	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034547	5004081020	5004081020	G25G9	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 14:57:54	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034547	5004119031	5004119031	RF96M	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-08 14:57:54	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034547	5004119284	5004119284	7CJ4M	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 14:57:54	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034547	5004119322	5004119322	XDRJY	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 14:57:54	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034547	5004119424	5004119424	F4Y1M	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 14:57:54	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034547	5004119524	5004119524	5WNM1	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 14:57:54	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034547	5004119579	5004119579	8DCGW	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-08 14:57:54	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034548	5004099284	P01-95452351571	4FW87	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 14:56:58	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034548	5004099287	P01-95452352219	5R4R4	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 14:56:58	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034548	5004099288	P01-95452352073	F1HC1	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 14:56:58	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034548	5004102043	P01-95452353755	00HW9	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 14:56:58	2024-07-08	FY25	Q2	07	WK23	P1	1
CS-DIRSEL-RC0034548	5004127360	P01-95452380684	YXVJD	PNAC-IN	CSK	DIRSEL	KR	1	2024-07-08 14:56:58	2024-07-08	FY25	Q2	07	WK23	P1	1
