Cust_Sys_No	ReceiptNo	Replen_Balance_Order	Allocated_Part	EDI_Order_Type	ShipFromCode	ShipToCode	Country	Quantity	PutAwayDate	InventoryDate	FY	Quarter	Month	Week	OrderType	Count_PO
5004265294	CS-DIRSEL-RC0034910	5004265294	J3MDC	REPLEN-IN	CSK	DIRSEL	KR	3	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265295	CS-DIRSEL-RC0034919	5004265295	4P36V	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 11:29:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265329	CS-DIRSEL-RC0034919	5004265329	X75JG	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 11:29:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265426	CS-DIRSEL-RC0034907	5004265426	R0HKG	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265460	CS-DIRSEL-RC0034910	5004265460	YH5R1	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265652	CS-DIRSEL-RC0034910	5004265652	H0GX2	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265715	CS-DIRSEL-RC0034907	5004265715	KY9WP	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004282643	CS-DIRSEL-RC0035046	5004282643	5N31T	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-16 12:16:28	2024-07-16	FY25	Q2	07	WK24	P3	1
5004285878	CS-DIRSEL-RC0035042	5004285878	9P93G	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-16 11:46:38	2024-07-16	FY25	Q2	07	WK24	P3	1
5004302332	CS-DIRSEL-RC0035388	5004302332	TMFYT	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-19 14:18:30	2024-07-19	FY25	Q2	07	WK24	P3	1
5004302400	CS-DIRSEL-RC0035179	5004302400	5KW3M	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302468	CS-DIRKWJ-RC0000410	5004302468	HNDJ7	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-17 13:48:26	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302472	CS-DIRSEL-RC0035177	5004302472	75X1V	REPLEN-IN	CHSIN4	DIRSEL	KR	6	2024-07-17 11:45:20	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302491	CS-DIRSEL-RC0035179	5004302491	D733G	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302534	CS-DIRSEL-RC0035177	5004302534	49RM7	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 11:45:20	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302536	CS-DIRSEL-RC0035388	5004302536	DD9VF	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-19 14:18:30	2024-07-19	FY25	Q2	07	WK24	P3	1
5004302537	CS-DIRSEL-RC0035179	5004302537	9CXF2	REPLEN-IN	CHSIN4	DIRSEL	KR	5	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302554	CS-DIRKWJ-RC0000405	5004302554	6HYWM	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-16 11:13:16	2024-07-16	FY25	Q2	07	WK24	P3	1
5004302618	CS-DIRKWJ-RC0000407	5004302618	HTPJ7	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-16 11:20:47	2024-07-16	FY25	Q2	07	WK24	P3	1
5004302631	CS-DIRSEL-RC0035047	5004302631	0RG5V	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-16 12:13:48	2024-07-16	FY25	Q2	07	WK24	P3	1
5004302679	CS-DIRSEL-RC0035177	5004302679	4NFGN	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-17 11:45:20	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302684	CS-DIRSEL-RC0035179	5004302684	KPD98	REPLEN-IN	CHSIN4	DIRSEL	KR	5	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302727	CS-DIRSEL-RC0035177	5004302727	4TJP7	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 11:45:20	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302733	CS-DIRKWJ-RC0000410	5004302733	PKH3T	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-17 13:48:26	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302744	CS-DIRPUS-RC0000501	5004302744	HP11W	REPLEN-IN	CHSIN4	DIRPUS	KR	1	2024-07-17 13:39:07	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302781	CS-DIRSEL-RC0035179	5004302781	61F54	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302806	CS-DIRSEL-RC0035179	5004302806	FMYG3	REPLEN-IN	CHSIN4	DIRSEL	KR	19	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302808	CS-DIRSEL-RC0034911	5004302808	14NC7	REPLEN-IN	CHSIN4	DIRSEL	KR	10	2024-07-15 10:56:08	2024-07-15	FY25	Q2	07	WK24	P3	1
5004302830	CS-DIRSEL-RC0035179	5004302830	5JDD1	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302834	CS-DIRKWJ-RC0000400	5004302834	10N7R	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-16 10:56:56	2024-07-16	FY25	Q2	07	WK24	P3	1
5004302840	CS-DIRSEL-RC0035179	5004302840	4JMGM	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004302883	CS-DIRKWJ-RC0000406	5004302883	DYMD0	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-16 11:20:01	2024-07-16	FY25	Q2	07	WK24	P3	1
5004302888	CS-DIRSEL-RC0035044	5004302888	0P06N	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-16 11:47:40	2024-07-16	FY25	Q2	07	WK24	P3	1
5004302925	CS-DIRPUS-RC0000499	5004302925	1W7HC	REPLEN-IN	CHSIN4	DIRPUS	KR	3	2024-07-16 13:53:26	2024-07-16	FY25	Q2	07	WK24	P3	1
5004303017	CS-DIRSEL-RC0035177	5004303017	HDKKV	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 11:45:20	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303026	CS-DIRSEL-RC0035368	5004303026	447VR	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-19 09:59:12	2024-07-19	FY25	Q2	07	WK24	P3	1
5004303051	CS-DIRSEL-RC0035179	5004303051	9TCMM	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303075	CS-DIRKWJ-RC0000408	5004303075	DM99W	REPLEN-IN	CHSIN4	DIRKWJ	KR	2	2024-07-16 11:22:11	2024-07-16	FY25	Q2	07	WK24	P3	1
5004303080	CS-DIRSEL-RC0035368	5004303080	7YX5Y	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-19 09:59:12	2024-07-19	FY25	Q2	07	WK24	P3	1
5004303093	CS-DIRKWJ-RC0000410	5004303093	YCVFG	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-17 13:48:26	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303139	CS-DIRSEL-RC0035179	5004303139	RN84N	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303150	CS-DIRKWJ-RC0000409	5004303150	VXFND	REPLEN-IN	CHSIN4	DIRKWJ	KR	2	2024-07-16 11:23:42	2024-07-16	FY25	Q2	07	WK24	P3	1
5004303162	CS-DIRSEL-RC0035388	5004303162	KG7VF	REPLEN-IN	CHSIN4	DIRSEL	KR	4	2024-07-19 14:18:30	2024-07-19	FY25	Q2	07	WK24	P3	1
5004303174	CS-DIRPUS-RC0000499	5004303174	978PJ	REPLEN-IN	CHSIN4	DIRPUS	KR	1	2024-07-16 13:53:26	2024-07-16	FY25	Q2	07	WK24	P3	1
5004303304	CS-DIRSEL-RC0035179	5004303304	9GCCD	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303309	CS-DIRSEL-RC0035177	5004303309	DHG15	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 11:45:20	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303316	CS-DIRSEL-RC0035179	5004303316	4X3CY	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303332	CS-DIRSEL-RC0035044	5004303332	4605M	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-16 11:47:40	2024-07-16	FY25	Q2	07	WK24	P3	1
5004303352	CS-DIRSEL-RC0035179	5004303352	M1C0T	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303370	CS-DIRKWJ-RC0000401	5004303370	C5HD0	REPLEN-IN	CHSIN4	DIRKWJ	KR	3	2024-07-16 11:10:02	2024-07-16	FY25	Q2	07	WK24	P3	1
5004303427	CS-DIRSEL-RC0035179	5004303427	4G4F6	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303441	CS-DIRSEL-RC0035179	5004303441	TDM6T	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303455	CS-DIRSEL-RC0035177	5004303455	MKYJJ	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 11:45:20	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303499	CS-DIRSEL-RC0035179	5004303499	2YH1K	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303525	CS-DIRKWJ-RC0000404	5004303525	VR92X	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-16 11:11:44	2024-07-16	FY25	Q2	07	WK24	P3	1
5004303535	CS-DIRSEL-RC0035177	5004303535	MD4YN	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 11:45:20	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303539	CS-DIRSEL-RC0035177	5004303539	KY9R8	REPLEN-IN	CHSIN4	DIRSEL	KR	32	2024-07-17 11:45:20	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303591	CS-DIRSEL-RC0035179	5004303591	11JVX	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 12:16:58	2024-07-17	FY25	Q2	07	WK24	P3	1
5004303614	CS-DIRSEL-RC0035177	5004303614	GY0V0	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-17 11:45:20	2024-07-17	FY25	Q2	07	WK24	P3	1
